	SRR21726537_dairy1	SRR21726538_dairy2	SRR21726539_dairy3	SRR21726540_dairy4	SRR21726541_dairy5	SRR21726542_dairy6	SRR21726543_dairy7	SRR21726544_dairy8	SRR21726545_meat1	SRR21726546_meat2	SRR21726547_meat3	SRR21726548_meat4	SRR21726549_meat5	SRR21726550_meat6	SRR21726551_meat7	SRR21726552_meat8
ASV_234	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_235	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_236	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_237	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0
ASV_238	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_239	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_240	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_241	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0
ASV_242	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_243	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0
ASV_244	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_245	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360
ASV_247	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_248	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_249	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0
ASV_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353
ASV_251	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0
ASV_252	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_253	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0
ASV_255	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_256	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333
ASV_258	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_259	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321
ASV_261	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0
ASV_263	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0
ASV_264	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_265	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_266	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_267	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_268	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_269	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_270	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303
ASV_272	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0
ASV_274	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_275	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0
ASV_276	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0
ASV_277	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_278	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0
ASV_279	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0
ASV_281	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0
ASV_282	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0
ASV_283	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_284	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0
ASV_285	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_286	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0
ASV_288	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0
ASV_289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279
ASV_290	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_291	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_292	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_293	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_294	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0
ASV_295	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_296	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0
ASV_297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273
ASV_298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0
ASV_299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272
ASV_300	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0
ASV_301	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0
ASV_302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0
ASV_303	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0
ASV_304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0
ASV_305	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0
ASV_306	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0
ASV_307	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0
ASV_308	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0
